Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
IDA only,IDX,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9077301,15.66205978,15.69079494,,16.24382019,16.46191978,17.48047066,,17.03716564,17.18516445,16.50391006,15.25154495,16.13546038,16.61007977,,,,
IDA only,IDX,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,IDA,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84E+11,5.90E+11,6.02E+11,6.03E+11,6.16E+11,6.42E+11,6.76E+11,7.00E+11,7.23E+11,7.47E+11,7.50E+11,7.94E+11,8.26E+11,8.84E+11,9.92E+11,1.05E+12,1.15E+12,1.22E+12,1.28E+12,1.34E+12,1.43E+12,1.50E+12,1.58E+12,1.65E+12,1.77E+12,1.85E+12,,
IDA total,IDA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.74071503,15.73184013,15.94077492,,16.24382019,17.06999969,,,16.21773529,16.95940971,16.50391006,15.10810518,16.13546038,16.59671021,,,,
IDA total,IDA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Late-demographic dividend,LTE,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32E+13,,,,,,,
Late-demographic dividend,LTE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.24525499,,,14.09593964,13.28682995,12.59212971,13.6035099,13.36233997,14.03108501,13.56408978,13.40042496,13.28645039,14.26844978,13.9852252,14.56659985,13.41265011,14.38677502,15.08062983,,,,
Late-demographic dividend,LTE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,GNI (constant 2010 US$),NY.GNP.MKTP.KD,7.67E+11,8.23E+11,8.58E+11,8.75E+11,9.37E+11,9.89E+11,1.01E+12,1.06E+12,1.15E+12,1.24E+12,1.32E+12,1.43E+12,1.54E+12,1.69E+12,1.81E+12,1.89E+12,2.00E+12,2.09E+12,2.16E+12,2.30E+12,2.43E+12,2.42E+12,2.36E+12,2.29E+12,2.38E+12,2.47E+12,2.59E+12,2.69E+12,2.71E+12,2.85E+12,2.77E+12,2.89E+12,2.97E+12,3.08E+12,3.20E+12,3.24E+12,3.36E+12,3.53E+12,3.58E+12,3.57E+12,3.72E+12,3.74E+12,3.73E+12,3.78E+12,4.03E+12,4.22E+12,4.45E+12,4.76E+12,4.94E+12,4.85E+12,5.17E+12,5.39E+12,5.56E+12,5.73E+12,5.78E+12,5.76E+12,5.72E+12,
Latin America & Caribbean,LCN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.63321972,15.25037003,16.3576107,16.06554031,14.88700008,,,15.97432041,16.43733025,18.08555984,17.27350998,17.11610985,15.96354008,17.82895088,16.92028522,,,,
Latin America & Caribbean,LCN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
